ID,Date,Close/Last,Volume,Open,High,Low
1176,01/10/2020,77.5825,140869080,77.65,78.1675,77.0625
1177,01/09/2020,77.4075,170486160,76.8088,77.6075,76.55
1178,01/08/2020,75.7975,132363800,74.29,76.11,74.289
1179,01/07/2020,74.5975,111510640,74.96,75.225,74.37
1180,01/06/2020,74.95,118578560,73.4475,74.99,73.1875
1181,01/03/2020,74.3575,146535520,74.2875,75.145,74.125
1182,01/02/2020,75.0875,135647440,74.06,75.15,73.7975
1183,12/31/2019,73.4125,100990520,72.4825,73.42,72.38
1184,12/30/2019,72.88,144238440,72.365,73.1725,71.305
1185,12/27/2019,72.45,146371760,72.78,73.4925,72.03
1186,12/26/2019,72.4775,93336000,71.205,72.495,71.175
1187,12/24/2019,71.0675,48478840,71.1725,71.2225,70.7299
1188,12/23/2019,71.00,98711520,70.1325,71.0625,70.0934
1189,12/20/2019,69.86,276130960,70.5575,70.6625,69.64
1190,12/19/2019,70.005,98507800,69.875,70.295,69.7375
1191,12/18/2019,69.935,116098760,69.95,70.475,69.78
1192,12/17/2019,70.1025,114303200,69.8925,70.4425,69.70
1193,12/16/2019,69.965,128324440,69.25,70.1975,69.245
1194,12/13/2019,68.7875,133731240,67.865,68.825,67.7325
1195,12/12/2019,67.865,137748160,66.945,68.14,66.8303
1196,12/11/2019,67.6925,78893560,67.2025,67.775,67.125
1197,12/10/2019,67.12,90529520,67.15,67.5175,66.465
1198,12/09/2019,66.73,128730600,67.50,67.70,66.2275
1199,12/06/2019,67.6775,106189960,66.87,67.75,66.825
1200,12/05/2019,66.395,74645360,65.9475,66.4725,65.6825
1201,12/04/2019,65.435,67241560,65.2675,65.8275,65.17
1202,12/03/2019,64.8625,117509080,64.5775,64.8825,64.0725
1203,12/02/2019,66.04,94774200,66.8175,67.0625,65.8625
1204,11/29/2019,66.8125,46617440,66.65,67.00,66.475
1205,11/27/2019,66.96,65544480,66.395,66.995,66.3275
1206,11/26/2019,66.0725,105339520,66.735,66.79,65.625
1207,11/25/2019,66.5925,84118080,65.6775,66.61,65.63
1208,11/22/2019,65.445,65325040,65.6475,65.795,65.21
1209,11/21/2019,65.5025,121395120,65.9225,66.0012,65.295
1210,11/20/2019,65.7975,106439680,66.385,66.5208,65.10
1211,11/19/2019,66.5725,76278400,66.975,67.00,66.3482
1212,11/18/2019,66.775,86803600,66.45,66.8575,66.0575
1213,11/15/2019,66.44,100374680,65.92,66.445,65.7525
1214,11/14/2019,65.66,89582240,65.9375,66.22,65.525
1215,11/13/2019,66.1175,103270360,65.2825,66.195,65.2675
1216,11/12/2019,65.49,87388920,65.3875,65.6975,65.23
1217,11/11/2019,65.55,82029840,64.575,65.6175,64.57
1218,11/08/2019,65.035,70082000,64.6725,65.11,64.2125
1219,11/07/2019,64.8575,94940320,64.685,65.0875,64.5275
1220,11/06/2019,64.31,75864480,64.1925,64.3725,63.8413
1221,11/05/2019,64.2825,79897720,64.2625,64.5475,64.08
1222,11/04/2019,64.375,103271800,64.3325,64.4613,63.845
1223,11/01/2019,63.955,151125320,62.385,63.9825,62.29
1224,10/31/2019,62.19,139162080,61.81,62.2925,59.315
1225,10/30/2019,60.815,124522080,61.19,61.325,60.3025
1226,10/29/2019,60.8225,142839480,62.2425,62.4375,60.6425
1227,10/28/2019,62.2625,96572960,61.855,62.3125,61.68
1228,10/25/2019,61.645,73477200,60.79,61.6825,60.72
1229,10/24/2019,60.895,71665040,61.1275,61.20,60.4513
1230,10/23/2019,60.795,79730200,60.525,60.81,60.305
1231,10/22/2019,59.99,90736000,60.29,60.55,59.9055
1232,10/21/2019,60.1275,89469920,59.38,60.2475,59.33
1233,10/18/2019,59.1025,97508680,58.6475,59.395,58.5725
1234,10/17/2019,58.82,69091600,58.7725,59.0375,58.38
1235,10/16/2019,58.5925,77146760,58.3425,58.81,58.30
1236,10/15/2019,58.83,92161920,59.0975,59.4125,58.72
1237,10/14/2019,58.9675,97653920,58.725,59.5335,58.6675
1238,10/11/2019,59.0525,167960840,58.2375,59.41,58.0769
1239,10/10/2019,57.5225,115851920,56.9825,57.61,56.825
1240,10/09/2019,56.7575,76117680,56.7575,56.9475,56.41
1241,10/08/2019,56.10,117130800,56.455,57.015,56.0825
1242,10/07/2019,56.765,123557080,56.5675,57.4825,56.46
1243,10/04/2019,56.7525,139022200,56.41,56.8725,55.9725
1244,10/03/2019,55.205,121410760,54.6075,55.24,53.783
1245,10/02/2019,54.74,143069040,55.765,55.895,54.4825
1246,10/01/2019,56.1475,144748640,56.2675,57.055,56.05
1247,09/30/2019,55.9925,105274320,55.225,56.145,55.1975
1248,09/27/2019,54.705,101445160,55.135,55.24,54.3203
1249,09/26/2019,54.9725,76353240,55.00,55.235,54.7075
1250,09/25/2019,55.2575,89924040,54.6375,55.375,54.285
1251,09/24/2019,54.42,125737480,55.2575,55.6225,54.2975
1252,09/23/2019,54.68,77678600,54.7375,54.96,54.4125
1253,09/20/2019,54.4325,231908360,55.345,55.64,54.3683
1254,09/19/2019,55.24,88751520,55.5025,55.94,55.0925
1255,09/18/2019,55.6925,102572360,55.265,55.7125,54.86
1256,09/17/2019,55.175,73545880,54.99,55.205,54.78
1257,09/16/2019,54.975,84632560,54.4325,55.0325,54.39
1258,09/13/2019,54.6875,159053200,55.00,55.1975,54.255
1259,09/12/2019,55.7713,128906680,56.20,56.605,55.715
1260,09/11/2019,55.8975,177158600,54.5175,55.9275,54.4325
1261,09/10/2019,54.175,127111720,53.465,54.195,52.9275
1262,09/09/2019,53.5425,109237600,53.71,54.11,52.7675
1263,09/06/2019,53.315,77449160,53.5125,53.605,53.1275
1264,09/05/2019,53.32,95787520,53.00,53.4925,52.8775
1265,09/04/2019,52.2975,76867280,52.0975,52.37,51.83
1266,09/03/2019,51.425,80238280,51.6075,51.745,51.055
1267,08/30/2019,52.185,84650240,52.54,52.6125,51.80
1268,08/29/2019,52.2525,84030600,52.125,52.33,51.6638
1269,08/28/2019,51.3825,63830520,51.025,51.43,50.83
1270,08/27/2019,51.04,103589360,51.965,52.1375,50.8825
1271,08/26/2019,51.6225,104264520,51.465,51.7975,51.2643
1272,08/23/2019,50.66,187531360,52.3575,53.0127,50.25
1273,08/22/2019,53.115,89071280,53.2975,53.6088,52.6875
1274,08/21/2019,53.16,86259000,53.2475,53.4125,52.9008
1275,08/20/2019,52.59,107678120,52.72,53.3375,52.58
1276,08/19/2019,52.5875,97727680,52.655,53.1827,52.5063
1277,08/16/2019,51.625,115254480,51.07,51.79,50.96
1278,08/15/2019,50.435,111533440,50.865,51.285,49.9175
1279,08/14/2019,50.6875,146189760,50.79,51.61,50.6467
1280,08/13/2019,52.2425,190159160,50.255,53.035,50.2075
1281,08/12/2019,50.12,89927560,49.905,50.5129,49.7875
1282,08/09/2019,50.2475,98479000,50.325,50.69,49.8225
1283,08/08/2019,50.8575,108038080,50.05,50.8825,49.8475
1284,08/07/2019,49.76,133457600,48.8525,49.89,48.455
1285,08/06/2019,49.25,143299160,49.0775,49.5168,48.51
1286,08/05/2019,48.335,209571880,49.4975,49.6623,48.145
1287,08/02/2019,51.005,163448480,51.3825,51.6075,50.4075
1288,08/01/2019,52.1075,216071680,53.475,54.5075,51.6859
1289,07/31/2019,53.26,277125440,54.105,55.3425,52.825
1290,07/30/2019,52.195,135742880,52.19,52.54,51.8275
1291,07/29/2019,52.42,86693560,52.115,52.66,52.11
1292,07/26/2019,51.935,70475480,51.87,52.4325,51.785
1293,07/25/2019,51.755,55638240,52.2225,52.31,51.6825
1294,07/24/2019,52.1675,59966280,51.9175,52.2875,51.7925
1295,07/23/2019,52.21,73420840,52.115,52.2275,51.8225
